Time,Republican,Independent,Democrat
7/9/12,10,42,82
7/16/12,10,41,81
7/23/12,10,41,86
7/30/12,9,39,83
8/6/12,9,41,84
8/13/12,8,41,84
8/20/12,8,44,83
8/27/12,7,39,84
9/3/12,7,45,89
9/10/12,8,47,89
9/17/12,8,45,89
9/24/12,8,46,88
10/1/12,8,52,89
10/8/12,9,47,90
10/15/12,9,50,89
10/22/12,7,48,91
10/29/12,6,51,92
11/5/12,7,48,91
11/12/12,12,50,90
11/19/12,12,49,90
11/26/12,10,51,90
12/3/12,11,50,89
12/10/12,9,47,91
12/17/12,15,53,92
12/24/12,12,46,93
1/1/13,12,49,87
1/7/13,13,48,92
1/14/13,13,46,88
1/21/13,11,48,91
1/28/13,13,47,90
2/4/13,11,51,89
2/11/13,12,49,87
2/18/13,13,47,87
2/25/13,9,44,84
3/4/13,12,43,87
3/11/13,11,41,87
3/18/13,11,43,86
3/25/13,10,42,88
4/1/13,10,41,85
4/8/13,13,44,85
4/15/13,13,46,86
4/22/13,15,45,88
4/29/13,18,42,86
5/6/13,15,45,84
5/13/13,10,46,86
5/20/13,16,44,82
5/27/13,14,46,83
6/3/13,11,44,84
6/10/13,13,42,82
6/17/13,13,38,81
6/24/13,12,39,82
7/1/13,14,39,81
7/8/13,10,39,81
7/15/13,14,39,84
7/22/13,11,35,83
7/29/13,8,38,81
8/5/13,13,37,80
8/12/13,11,41,80
8/19/13,13,39,83
8/26/13,12,38,83
9/2/13,13,36,78
9/9/13,12,38,79
9/16/13,12,38,78
9/23/13,11,36,81
9/30/13,9,36,81
10/7/13,9,33,80
10/14/13,9,36,81
10/21/13,10,36,80
10/28/13,8,32,80
11/4/13,8,34,80
11/11/13,9,36,76
11/18/13,7,33,77
11/25/13,8,35,77
12/2/13,9,35,77
12/9/13,8,35,77
12/16/13,10,31,77
12/23/13,11,32,81
1/6/14,11,35,77
1/13/14,11,32,75
1/20/14,9,36,75
1/27/14,12,34,77
2/3/14,12,33,79
2/10/14,9,32,75
2/17/14,9,38,81
2/24/14,9,37,79
3/3/14,8,36,80
3/10/14,8,31,78
3/17/14,10,40,78
3/24/14,9,37,82
3/31/14,11,38,81
4/7/14,9,35,80
4/14/14,10,38,80
4/21/14,8,42,79
4/28/14,10,40,80
5/5/14,8,39,81
5/12/14,10,37,82
5/19/14,8,38,81
5/26/14,10,38,79
6/2/14,10,38,80
6/9/14,9,34,78
6/16/14,9,35,76
6/23/14,10,37,78
6/30/14,10,38,81
7/7/14,9,36,79
7/14/14,10,36,81
7/21/14,10,34,79
7/28/14,10,35,81
8/4/14,10,33,81
8/11/14,7,34,80
8/18/14,10,38,76
8/25/14,7,35,77
9/1/14,8,34,79
9/8/14,9,36,76
9/15/14,9,37,79
9/19/14,8,36,82
9/22/14,7,40,78
10/6/14,7,37,77
10/13/14,7,34,79
10/20/14,6,37,78
10/27/14,9,35,80
11/3/14,9,36,78
11/10/14,9,39,77
11/17/14,9,39,81
11/24/14,9,37,79
12/1/14,10,40,76
12/8/14,6,38,83
12/15/14,9,43,79
12/22/14,12,41,79
12/29/14,10,44,82
1/5/15,8,40,81
1/12/15,10,43,83
1/19/15,14,46,83
1/26/15,11,45,82
2/2/15,10,42,83
2/9/15,10,44,84
2/16/15,12,41,82
2/23/15,10,40,81
3/2/15,8,44,81
3/9/15,11,44,81
3/16/15,10,41,81
3/23/15,12,42,83
3/30/15,8,43,84
4/6/15,10,45,85
4/13/15,9,41,81
4/20/15,8,40,81
4/27/15,11,43,83
5/4/15,12,42,83
5/11/15,12,42,83
5/18/15,10,42,81
5/25/15,13,43,79
6/1/15,9,41,84
6/8/15,10,41,80
6/15/15,11,40,80
6/22/15,10,45,82
6/29/15,9,40,81
7/6/15,12,44,80
7/13/15,9,44,82
7/20/15,8,43,83
7/27/15,10,45,85
8/3/15,9,45,83
8/10/15,11,43,84
8/17/15,11,43,81
8/24/15,8,42,84
8/31/15,10,46,81
9/7/15,10,47,81
9/14/15,9,43,86
9/21/15,10,47,83
9/28/15,10,47,82
10/5/15,10,43,82
10/12/15,10,43,82
10/19/15,10,43,83
10/26/15,12,43,84
11/2/15,10,46,85
11/9/15,10,46,85
11/16/15,8,40,84
11/23/15,7,44,83
11/30/15,8,45,85
12/7/15,10,41,82
12/14/15,10,42,81
12/21/15,9,45,83
12/28/15,10,42,81
1/4/16,10,42,84
1/11/16,11,43,86
1/18/16,10,47,85
1/25/16,11,47,86
2/1/16,9,42,86
2/8/16,10,46,85
2/15/16,8,47,85
2/22/16,8,45,84
2/29/16,11,45,87
3/7/16,11,50,87
3/14/16,10,48,88
3/21/16,12,50,89
3/28/16,13,48,88
4/4/16,11,51,86
4/11/16,9,48,84
4/18/16,13,51,87
5/2/16,15,47,88
5/9/16,12,48,86
5/16/16,12,50,88
5/23/16,12,50,86
5/30/16,11,50,88
6/6/16,13,51,89
6/13/16,12,50,89
6/20/16,11,47,88
6/27/16,12,47,88
4/25/16,14,49,86
7/4/16,9,48,90
7/11/16,11,47,88
7/18/16,12,46,90
7/25/16,9,52,91
8/1/16,11,50,90
8/8/16,9,50,90
8/15/16,11,49,89
8/22/16,11,49,91
8/29/16,11,51,90
9/5/16,10,49,91
9/12/16,13,50,89
9/19/16,12,51,92
9/26/16,11,52,89
10/3/16,15,52,91
10/10/16,13,54,91
10/17/16,14,52,94
10/24/16,12,53,90
10/31/16,11,53,91
11/7/16,14,58,93
11/14/16,15,60,93
11/21/16,15,55,93
11/28/16,15,53,92
12/5/16,16,61,92
12/12/16,15,57,92
12/19/16,16,58,92
12/26/16,14,57,90
1/2/17,15,56,92
1/9/17,17,56,93
1/16/17,14,61,95
